time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-10-15T12:11:24.500Z,37.8935,-122.227,7.6,1.1,Md,,61.2,0.00898315,0.14,nc,nc72087981,2013-10-25T22:00:14.628Z,"4km ENE of Berkeley, California",earthquake
2013-10-15T10:25:50.500Z,37.8895,-122.2283,7.3,0.8,Md,,57.6,0.00898315,0.09,nc,nc72087901,2013-10-25T21:30:57.440Z,"4km ENE of Berkeley, California",earthquake
2013-10-15T10:23:45.400Z,37.8858,-122.2278,7,1.3,Md,,46.8,0,0.13,nc,nc72087896,2013-10-25T05:33:08.166Z,"4km ENE of Berkeley, California",earthquake
2013-10-15T10:16:54.400Z,37.8853,-122.2223,7.2,1.4,Md,,57.6,0,0.12,nc,nc72087891,2013-10-25T02:35:03.240Z,"3km WNW of Orinda, California",earthquake
2013-10-15T09:57:15.700Z,37.8857,-122.2215,6.7,0.5,Md,,79.2,0,0.06,nc,nc72087856,2013-10-22T02:58:43.713Z,"3km WNW of Orinda, California",earthquake
2013-10-15T09:52:58.000Z,37.8892,-122.2248,7.4,0.6,Md,,75.6,0.00898315,0.09,nc,nc72087851,2013-10-25T01:10:34.892Z,"4km ENE of Berkeley, California",earthquake
2013-10-15T09:15:12.100Z,37.8862,-122.2318,7,2.6,Md,,18,0.00898315,0.16,nc,nc72087836,2014-08-25T09:59:35.495Z,"3km ENE of Berkeley, California",earthquake
2013-10-15T09:06:19.600Z,37.8837,-122.2242,6.8,2.7,Md,,39.6,0,0.13,nc,nc72087826,2014-03-21T05:18:14.113Z,"3km W of Orinda, California",earthquake
2013-10-15T08:29:54.000Z,37.8803,-122.2302,6.1,0.5,Md,,93.6,0.00898315,0.02,nc,nc72087821,2013-10-25T01:11:35.016Z,"3km ENE of Berkeley, California",earthquake
2013-10-15T08:27:42.500Z,37.8905,-122.2292,6.8,1.6,Md,,32.4,0.00898315,0.1,nc,nc72087816,2013-10-21T22:50:03.562Z,"4km ENE of Berkeley, California",earthquake
2013-10-15T08:24:39.500Z,37.8942,-122.2327,7.6,1.1,Md,,61.2,0.00898315,0.14,nc,nc72087811,2013-10-21T22:09:01.202Z,"4km NE of Berkeley, California",earthquake
2013-10-15T08:07:26.500Z,37.8827,-122.2305,7.3,3.2,Mw,,32.4,0.00898315,0.17,nc,nc72087796,2014-03-21T04:04:54.637Z,"3km ENE of Berkeley, California",earthquake
2013-10-15T06:23:14.000Z,37.8855,-122.2313,6.9,1.7,Md,,46.8,0.00898315,0.14,nc,nc72087746,2013-12-31T02:25:26.629Z,"3km ENE of Berkeley, California",earthquake
2013-10-11T15:33:36.700Z,37.8908,-122.2187,7,0.7,Md,,72,0.00898315,0.07,nc,nc72085671,2013-10-23T00:18:42.438Z,"3km WNW of Orinda, California",earthquake
2013-10-10T10:43:27.900Z,37.8508,-122.2463,12,1.1,Md,,57.6,0,0.12,nc,nc72084636,2013-10-22T03:19:04.256Z,"3km SE of Berkeley, California",earthquake
